[2025-11-10T07:36:54.133Z] --- بدء التحويل ---
[2025-11-10T07:36:54.145Z] نقل /workspaces/imgv3/public/data/damac/projects/aykon-city.json → /workspaces/imgv3/public/data/damac/projects/aykon-city/index.json
[2025-11-10T07:36:54.145Z] نقل /workspaces/imgv3/public/data/damac/projects/canal-crown.json → /workspaces/imgv3/public/data/damac/projects/canal-crown/index.json
[2025-11-10T07:36:54.145Z] نقل /workspaces/imgv3/public/data/damac/projects/chelsea-residences.json → /workspaces/imgv3/public/data/damac/projects/chelsea-residences/index.json
[2025-11-10T07:36:54.145Z] نقل /workspaces/imgv3/public/data/damac/projects/chic-tower.json → /workspaces/imgv3/public/data/damac/projects/chic-tower/index.json
[2025-11-10T07:36:54.146Z] نقل /workspaces/imgv3/public/data/damac/projects/costa-brava.json → /workspaces/imgv3/public/data/damac/projects/costa-brava/index.json
[2025-11-10T07:36:54.146Z] نقل /workspaces/imgv3/public/data/damac/projects/couture-by-cavalli.json → /workspaces/imgv3/public/data/damac/projects/couture-by-cavalli/index.json
[2025-11-10T07:36:54.146Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-bay-by-cavalli.json → /workspaces/imgv3/public/data/damac/projects/damac-bay-by-cavalli/index.json
[2025-11-10T07:36:54.146Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-casa.json → /workspaces/imgv3/public/data/damac/projects/damac-casa/index.json
[2025-11-10T07:36:54.148Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-district.json → /workspaces/imgv3/public/data/damac/projects/damac-district/index.json
[2025-11-10T07:36:54.148Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-heights.json → /workspaces/imgv3/public/data/damac/projects/damac-heights/index.json
[2025-11-10T07:36:54.148Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-islands.json → /workspaces/imgv3/public/data/damac/projects/damac-islands/index.json
[2025-11-10T07:36:54.149Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-majestine.json → /workspaces/imgv3/public/data/damac/projects/damac-majestine/index.json
[2025-11-10T07:36:54.149Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-residenze.json → /workspaces/imgv3/public/data/damac/projects/damac-residenze/index.json
[2025-11-10T07:36:54.149Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-riverside.json → /workspaces/imgv3/public/data/damac/projects/damac-riverside/index.json
[2025-11-10T07:36:54.149Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-seacrest.json → /workspaces/imgv3/public/data/damac/projects/damac-seacrest/index.json
[2025-11-10T07:36:54.149Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-sun-city.json → /workspaces/imgv3/public/data/damac/projects/damac-sun-city/index.json
[2025-11-10T07:36:54.151Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-towers-by-paramount-hotels-and-resorts.json → /workspaces/imgv3/public/data/damac/projects/damac-towers-by-paramount-hotels-and-resorts/index.json
[2025-11-10T07:36:54.151Z] نقل /workspaces/imgv3/public/data/damac/projects/damac-volta.json → /workspaces/imgv3/public/data/damac/projects/damac-volta/index.json
[2025-11-10T07:36:54.151Z] نقل /workspaces/imgv3/public/data/damac/projects/duo-villas.json → /workspaces/imgv3/public/data/damac/projects/duo-villas/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/elo-2.json → /workspaces/imgv3/public/data/damac/projects/elo-2/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/elo-3.json → /workspaces/imgv3/public/data/damac/projects/elo-3/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/evergreens.json → /workspaces/imgv3/public/data/damac/projects/evergreens/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/fiora.json → /workspaces/imgv3/public/data/damac/projects/fiora/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/golf-gate-2.json → /workspaces/imgv3/public/data/damac/projects/golf-gate-2/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/kiara-at-damac-hills.json → /workspaces/imgv3/public/data/damac/projects/kiara-at-damac-hills/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/malta.json → /workspaces/imgv3/public/data/damac/projects/malta/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/mykonos.json → /workspaces/imgv3/public/data/damac/projects/mykonos/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/nice.json → /workspaces/imgv3/public/data/damac/projects/nice/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/portofino.json → /workspaces/imgv3/public/data/damac/projects/portofino/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/riverside-views-marine-3.json → /workspaces/imgv3/public/data/damac/projects/riverside-views-marine-3/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/safa-two.json → /workspaces/imgv3/public/data/damac/projects/safa-two/index.json
[2025-11-10T07:36:54.152Z] نقل /workspaces/imgv3/public/data/damac/projects/santorini.json → /workspaces/imgv3/public/data/damac/projects/santorini/index.json
[2025-11-10T07:36:54.153Z] نقل /workspaces/imgv3/public/data/damac/projects/venice.json → /workspaces/imgv3/public/data/damac/projects/venice/index.json
[2025-11-10T07:36:54.153Z] نقل /workspaces/imgv3/public/data/damac/projects/vera-residences.json → /workspaces/imgv3/public/data/damac/projects/vera-residences/index.json
[2025-11-10T07:36:54.153Z] نقل /workspaces/imgv3/public/data/damac/projects/volta.json → /workspaces/imgv3/public/data/damac/projects/volta/index.json
[2025-11-10T07:36:54.153Z] نقل /workspaces/imgv3/public/data/nakheel/projects/al-furjan.json → /workspaces/imgv3/public/data/nakheel/projects/al-furjan/index.json
[2025-11-10T07:36:54.153Z] نقل /workspaces/imgv3/public/data/nakheel/projects/azure-residences.json → /workspaces/imgv3/public/data/nakheel/projects/azure-residences/index.json
[2025-11-10T07:36:54.153Z] نقل /workspaces/imgv3/public/data/nakheel/projects/badrah.json → /workspaces/imgv3/public/data/nakheel/projects/badrah/index.json
[2025-11-10T07:36:54.153Z] نقل /workspaces/imgv3/public/data/nakheel/projects/bay-grove-residences.json → /workspaces/imgv3/public/data/nakheel/projects/bay-grove-residences/index.json
[2025-11-10T07:36:54.153Z] نقل /workspaces/imgv3/public/data/nakheel/projects/bay-villas-dubai-islands.json → /workspaces/imgv3/public/data/nakheel/projects/bay-villas-dubai-islands/index.json
[2025-11-10T07:36:54.153Z] نقل /workspaces/imgv3/public/data/nakheel/projects/bay-villas.json → /workspaces/imgv3/public/data/nakheel/projects/bay-villas/index.json
[2025-11-10T07:36:54.153Z] نقل /workspaces/imgv3/public/data/nakheel/projects/canal-front-residences.json → /workspaces/imgv3/public/data/nakheel/projects/canal-front-residences/index.json
[2025-11-10T07:36:54.154Z] نقل /workspaces/imgv3/public/data/nakheel/projects/club-vista-mare.json → /workspaces/imgv3/public/data/nakheel/projects/club-vista-mare/index.json
[2025-11-10T07:36:54.154Z] نقل /workspaces/imgv3/public/data/nakheel/projects/como-residences.json → /workspaces/imgv3/public/data/nakheel/projects/como-residences/index.json
[2025-11-10T07:36:54.154Z] نقل /workspaces/imgv3/public/data/nakheel/projects/discovery-gardens.json → /workspaces/imgv3/public/data/nakheel/projects/discovery-gardens/index.json
[2025-11-10T07:36:54.154Z] نقل /workspaces/imgv3/public/data/nakheel/projects/district-one-naya-residences.json → /workspaces/imgv3/public/data/nakheel/projects/district-one-naya-residences/index.json
[2025-11-10T07:36:54.154Z] نقل /workspaces/imgv3/public/data/nakheel/projects/district-one-west.json → /workspaces/imgv3/public/data/nakheel/projects/district-one-west/index.json
[2025-11-10T07:36:54.154Z] نقل /workspaces/imgv3/public/data/nakheel/projects/district-one.json → /workspaces/imgv3/public/data/nakheel/projects/district-one/index.json
[2025-11-10T07:36:54.154Z] نقل /workspaces/imgv3/public/data/nakheel/projects/dragon-city.json → /workspaces/imgv3/public/data/nakheel/projects/dragon-city/index.json
[2025-11-10T07:36:54.156Z] نقل /workspaces/imgv3/public/data/nakheel/projects/dragon-mart.json → /workspaces/imgv3/public/data/nakheel/projects/dragon-mart/index.json
[2025-11-10T07:36:54.156Z] نقل /workspaces/imgv3/public/data/nakheel/projects/dubai-islands.json → /workspaces/imgv3/public/data/nakheel/projects/dubai-islands/index.json
[2025-11-10T07:36:54.156Z] نقل /workspaces/imgv3/public/data/nakheel/projects/garden-apartments.json → /workspaces/imgv3/public/data/nakheel/projects/garden-apartments/index.json
[2025-11-10T07:36:54.156Z] نقل /workspaces/imgv3/public/data/nakheel/projects/garden-view-apartments.json → /workspaces/imgv3/public/data/nakheel/projects/garden-view-apartments/index.json
[2025-11-10T07:36:54.156Z] نقل /workspaces/imgv3/public/data/nakheel/projects/garden-view-villas.json → /workspaces/imgv3/public/data/nakheel/projects/garden-view-villas/index.json
[2025-11-10T07:36:54.157Z] نقل /workspaces/imgv3/public/data/nakheel/projects/golden-mile.json → /workspaces/imgv3/public/data/nakheel/projects/golden-mile/index.json
[2025-11-10T07:36:54.157Z] نقل /workspaces/imgv3/public/data/nakheel/projects/ibis.json → /workspaces/imgv3/public/data/nakheel/projects/ibis/index.json
[2025-11-10T07:36:54.157Z] نقل /workspaces/imgv3/public/data/nakheel/projects/ibn-battuta-mall.json → /workspaces/imgv3/public/data/nakheel/projects/ibn-battuta-mall/index.json
[2025-11-10T07:36:54.157Z] نقل /workspaces/imgv3/public/data/nakheel/projects/international-city.json → /workspaces/imgv3/public/data/nakheel/projects/international-city/index.json
[2025-11-10T07:36:54.157Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jebel-ali-gardens.json → /workspaces/imgv3/public/data/nakheel/projects/jebel-ali-gardens/index.json
[2025-11-10T07:36:54.157Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jebel-ali-village.json → /workspaces/imgv3/public/data/nakheel/projects/jebel-ali-village/index.json
[2025-11-10T07:36:54.157Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-heights.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-heights/index.json
[2025-11-10T07:36:54.159Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-islands.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-islands/index.json
[2025-11-10T07:36:54.159Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-lake-towers.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-lake-towers/index.json
[2025-11-10T07:36:54.159Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-park.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-park/index.json
[2025-11-10T07:36:54.159Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-village-circle.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-village-circle/index.json
[2025-11-10T07:36:54.159Z] نقل /workspaces/imgv3/public/data/nakheel/projects/jumeirah-village-triangle.json → /workspaces/imgv3/public/data/nakheel/projects/jumeirah-village-triangle/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/lagoon-views.json → /workspaces/imgv3/public/data/nakheel/projects/lagoon-views/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/marina-residences.json → /workspaces/imgv3/public/data/nakheel/projects/marina-residences/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/masakin-al-furjan.json → /workspaces/imgv3/public/data/nakheel/projects/masakin-al-furjan/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/meydan.json → /workspaces/imgv3/public/data/nakheel/projects/meydan/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/murooj-al-furjan.json → /workspaces/imgv3/public/data/nakheel/projects/murooj-al-furjan/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/nad-al-sheba-gardens.json → /workspaces/imgv3/public/data/nakheel/projects/nad-al-sheba-gardens/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/nad-al-sheba-villas.json → /workspaces/imgv3/public/data/nakheel/projects/nad-al-sheba-villas/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/naya-phase-2.json → /workspaces/imgv3/public/data/nakheel/projects/naya-phase-2/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/naya-phase-3.json → /workspaces/imgv3/public/data/nakheel/projects/naya-phase-3/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palm-beach-towers.json → /workspaces/imgv3/public/data/nakheel/projects/palm-beach-towers/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palm-central-private-residences.json → /workspaces/imgv3/public/data/nakheel/projects/palm-central-private-residences/index.json
[2025-11-10T07:36:54.160Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palm-jebel-ali.json → /workspaces/imgv3/public/data/nakheel/projects/palm-jebel-ali/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palm-jumeirah.json → /workspaces/imgv3/public/data/nakheel/projects/palm-jumeirah/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palm-views.json → /workspaces/imgv3/public/data/nakheel/projects/palm-views/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/palma-residences.json → /workspaces/imgv3/public/data/nakheel/projects/palma-residences/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/paradise-one.json → /workspaces/imgv3/public/data/nakheel/projects/paradise-one/index.json
[2025-11-10T07:36:54.161Z] نقل /workspaces/imgv3/public/data/nakheel/projects/rixos-at-dubai-islands.json → /workspaces/imgv3/public/data/nakheel/projects/rixos-at-dubai-islands/index.json
